Index,Id,dataset,InputText,ReferenceSummary,facebook/bart-large-cnn,google/pegasus-xsum,t5-large,gpt-3.5-turbo,RefSum
84,uk-england-devon-56548931,xlsum,"Max Woosey, from Braunton, Devon, began his challenge after a neighbour, who later died of cancer, gave him a tent to have an adventure in. Children as far away as north America and Singapore took part in the Saturday night camp-out. By Sunday Max had raised more than £500,000 for charity. The money will be donated to the North Devon Hospice which helped Max's family care for their neighbour Rick Abbott - the man who provided the tent - before he died in February 2020. Max's mother Rachael Woosey said they had received hundreds of messages and believed about a thousand people took part in the camp-out. Camilla Parish, of Chawleigh in Devon, said her family of five, together with their dogs, had camped out for a third time in support of Max's efforts. After such a bizarre year, having little adventures like this has been great fun and it felt lovely [that] so many were joining and raising money for a great cause, she said. Many children braved wind and rain through the night while others enjoyed the comfort of their living rooms instead. David Preston from South Staffordshire said his two children had popcorn in their tent, which had been put up in the front room. The children decided to do it after seeing Max on the news one evening... they where hardly roughing it like Max. But nevertheless they absolutely loved it, he said. Max began camping at the start of the first coronavirus lockdown and has admitted he has cried himself to sleep on some nights because all his gear was soaking wet. He has gone through seven tents in total. Companies and individuals have donated tents and equipment while celebrities, including Jonny Wilkinson and Bear Grylls, have sent good wishes. Ms Woosey said Max and his family were thrilled both with the numbers who took part and the £516,000 raised for the hospice. Last night I lay in bed in tears because it hit me. It's just so overwhelming, she said. Follow BBC News South West on Twitter, Facebook and Instagram. Send your story ideas to spotlight@bbc.co.uk.","About 1,000 children have taken part in a big camp-out inspired by an 11-year-old boy who has slept in a tent for a year.","Max Woosey, from Braunton, Devon, began his challenge after a neighbour gave him a tent to have an adventure in Children as far away as north America and Singapore took part in the Saturday night camp-out. By Sunday Max had raised more than £500,000 for charity.",Thousands of people have taken part in a camp-out in support of a seven-year-old boy who has spent a year sleeping in a tent.,children as far away as north america and Singapore took part in the camp-out. the money will be donated to the hospice which cared for neighbour who died of cancer. many children braved wind and rain through the night while others enjoyed living rooms.,"Max Woosey, a boy from Devon, has raised over £500,000 for the North Devon Hospice after camping in his garden every night for a year. Max was given a tent by his neighbour Rick Abbott, who later died of cancer, and decided to use it to raise money for the hospice that supported Rick during his illness. The challenge began during the first COVID-19 lockdown and gained support from individuals and companies who donated tents and equipment. Children from as far away as north America and Singapore took part in a mass camp-out on Saturday 27 March to mark the end of Max's year-long challenge.","About 1,000 children have taken part in a big camp-out inspired by an 11-year-old boy who has slept in a tent for a year."
85,uk-england-dorset-51048996,xlsum,"The men, who couriered Class A drugs between Merseyside and Dorset, were thwarted by a major police surveillance operation in 2018. Police intercepted drugs worth £150,000 in a car on a low loader lorry, Bournemouth Crown Court heard. The men were jailed for between 32 months and 10 years. All of the men had been convicted at previous hearings of conspiracy to supply cocaine and heroin. The court was told the Scouse Porky Line was a well-known source of Class A drugs among users in Poole and Bournemouth. Thomas Garcia, 26, and James Porky Brown, 31, were the gang's leaders, with the drugs hotline they used taking its title from Liverpudlian Brown's nickname. Customers would call the phone number, which was manned hundreds of miles away in Liverpool, and place their order. Garcia and Brown then gave instructions to their local managers based in the Kinson area of Bournemouth, where they received bulk quantities of drugs, prepared them for sale and sent the cash made back to Liverpool. Prosecutor David Jenkins said officers from the South West Regional Organised Crime Unit spent months gathering evidence before they swooped in November 2018 as members of the county lines gang headed towards Bournemouth with a delivery. Passing sentence, Judge Jonathan Fuller QC said evidence of the phone line's existence dated back to December 2017 but it was likely to have been operating for longer. This was a highly organised criminal enterprise and its duration was significant, he said. The following men were convicted at Bournemouth Crown Court of conspiracy to supply heroin and cocaine:",Nine members of a drug-dealing gang who used a phone number dubbed the Scouse Porky Line to sell cocaine and heroin on a commercial scale have been jailed.,"Gang couriered Class A drugs between Merseyside and Dorset. Police intercepted drugs worth £150,000 in a car on a low loader lorry. The men were jailed for between 32 months and 10 years. All of the men had been convicted at previous hearings of conspiracy to supply cocaine and heroin.",Nine men have been jailed for running a highly organised criminal enterprise using a phone line called the Scouse Porky Line.,"the Scouse porky line was a well-known source of class a drugs in poole and Bournemouth. customers would call the phone number, which was manned hundreds of miles away in Liverpool. officers from the south west regional organised crime unit spent months gathering evidence. judge Jonathan fuller QC said evidence of the phone line's existence dated back to 2017.","A gang of drug couriers transporting Class A drugs between Merseyside and Dorset were caught by a police surveillance operation and convicted at Bournemouth Crown Court. The gang was well-known among drug users and the Scouse Porky Line, manned by gang leaders Thomas Garcia and James Porky Brown, took orders from customers in Bournemouth and Poole, with the drugs being prepared for sale in the Kinson area of Bournemouth. The gang was highly organised and evidence of their phone line's existence dates back to December 2017. Members of the gang were sentenced to between 32 months and 10 years in jail.",Nine members of a drug-dealing gang who used a phone number dubbed the Scouse Porky Line to sell cocaine and heroin on a commercial scale have been jailed.
86,uk-england-hampshire-35694569,xlsum,"The Central Police Station is earmarked for closure with officers moving to the council offices in Guildhall Square. Campaigners opposing the plan said it would create a perception of the city being not a safe place. PCC Simon Hayes said it was pedalling a myth to claim cover would reduce. Stephen Morgan, who set up an online petition with Labour councillor Yahiya Chowdhury, said the plans to close the station on Winston Churchill Avenue was a grave threat to community policing. He said: A city this size really needs a centrally located police station. People want to see police in a police station, not other public buildings, There is a real perception issue - if we lose the last police station in the city, it leads to a perception it's not a safe place to live. Mr Hayes said the closure was part of attempts to modernise the policing estate in Portsmouth. It's expensive to run, inefficient to work in and there's not enough space. There is no question of the police moving out of the centre of Portsmouth. There will be a front counter, there will be police officers there 24 hours, there will be cars in the car park. He said 37 potential sites for a new Investigation Centre in the city had been identified but none had proved affordable and in a location we want.","Police presence in Portsmouth will not be reduced by the planned closure of the city centre police station, Hampshire's police and crime commissioner (PCC) has insisted.",Portsmouth's Central Police Station is earmarked for closure. Officers will move to council offices in Guildhall Square. Campaigners say it would create a perception of the city being not a safe place PCC Simon Hayes said it was pedalling a myth to claim cover would reduce.,"The police and crime commissioner (PCC) for Portsmouth has defended plans to close the city's last police station. People want to see police in a police station, not other public buildings, There is a real perception issue - if we lose the last police station in the city, it leads to a perception it's not a safe place to live. Mr Hayes said the closure was part of attempts to modernise the policing estate in Portsmouth.",campaigners opposing the plan said it would create a perception of the city being not a safe place. PCC Simon Hayes said it was pedalling a myth to claim cover would reduce. he said the closure was part of attempts to modernise the policing estate,"The Central Police Station in Portsmouth is due to close with officers to move to the council offices, however campaigners are opposing the move stating it will create a perception of the city being not a safe place. PCC Simon Hayes has said the closure is part of attempts to 'modernise the policing estate' in Portsmouth and there is no question of the police moving out of the centre of Portsmouth.","Police presence in Portsmouth will not be reduced by the planned closure of the city centre police station, Hampshire's police and crime commissioner (PCC) has insisted."
87,uk-england-hereford-worcester-51539199,xlsum,"Police said Yvonne Booth, 55, was swept into floodwater near a bridge which crosses the River Teme, near Tenbury Wells, Worcestershire, on Sunday. Her family said they were devastated and appreciate the continued support from the emergency services. Hundreds of flood warnings remain in place, including several severe warnings meaning a danger to life. Ch Supt Tom Harding said the body of Ms Booth, from Great Barr near Birmingham, was found during a search and rescue operation in Tenbury. West Midlands Ambulance Service said it was called to reports of two people being swept into the water near Eastham Bridge. A man who was rescued close to where Ms Booth disappeared was airlifted to hospital and remains in a stable condition. West Mercia Police Assistant Chief Constable Geoff Wessell said the man and woman stopped and got out of the car because of the water and then got caught up into more of a stream of water that took them away. Storm Dennis has left more than 400 properties flooded, with about 270 of those in the West Midlands, the Environment Agency (EA) said. Among the worst affected areas are Herefordshire, Worcestershire and Shropshire, where major incidents were declared. Worcestershire has borne the brunt of the flooding with about 200 homes affected, according to figures from the agency's John Curtin. West Mercia Police said residents in Upton upon Severn and Uckinghall in Worcestershire were being advised to evacuate, with water levels expected to rise on Monday evening. Emergency evacuations were also under way in Hereford, where the River Wye reached its highest level on record. Herefordshire Police tweeted that officers were carrying out emergency evacuations to a leisure centre. Families rescued from flooded properties could be seen disembarking from evacuation dinghies with their pets and belongings. In Shropshire, 16 roads have been closed due to flooding. Telford and Wrekin Council said it had handed out 2,000 sandbags to residents in the Ironbridge Gorge. After a severe flood warning was put in place for Burton-upon-Trent, Staffordshire residents were advised to have a bag ready with vital items like medicines and insurance documents and call 999 if in immediate danger. The A38 in Branston, near Burton, was closed in both directions on Monday night due to flooding. Elsewhere in the county, Drayton Manor Theme Park, near Tamworth, is set to be closed until at least Thursday due to flooding. Thousands of sandbags were distributed in York where the River Ouse continued to rise, although the EA said the situation in the city was an improving one. Elsewhere, about 60 homes flooded in Lowdham in Nottinghamshire. Residents of park homes on the River Stour near Christchurch, Dorset, were also told to leave as water levels continue to rise. A record number of flood warnings and alerts - more than 600 - were issued by the EA across England on Sunday, falling to below 500 on Monday afternoon. Follow BBC West Midlands on Facebook, on Twitter, and sign up for local news updates direct to your phone.",A body has been found in the search for a woman who went missing in floods after her car got stuck in water.,"Yvonne Booth, 55, was swept into floodwater near Tenbury Wells, Worcestershire. Her body was found during a search and rescue operation in Tenbury. Hundreds of flood warnings remain in place, including several severe warnings. Storm Dennis has left more than 400 properties flooded, with about 270 of those in the West Midlands.","The body of a woman who went missing after her car was swept into a river has been found, police have said.","Yvonne Booth, 55, was swept into floodwater near a bridge which crosses the river Teme, near Tenbury wells, Worcestershire. her body was found during a search and rescue operation. a man who was rescued close to where Ms Booth disappeared was airlifted to hospital and remains in a stable condition.","Severe flooding caused by Storm Dennis has left more than 400 properties flooded in the UK, with hundreds of flood warnings in place and several severe warnings meaning a danger to life. One woman was swept into floodwater near the River Teme and later found dead. Emergency evacuations are underway in several areas including Hereford and Upton upon Severn, while many roads are closed. The Environment Agency has issued a record number of flood warnings and alerts across England, although the situation is reported to be improving in some areas.",A body has been found in the search for a woman who went missing in floods after her car got stuck in water.
88,uk-england-humber-47661849,xlsum,"Humberside Police said the body was discovered near Grimsby docks on Wednesday afternoon. The 21-year-old University of Hull student was last seen in the early hours of 1 February after a night out. A major police inquiry saw hundreds of officers searching for Ms Squire, from High Wycombe, Buckinghamshire. Det Supt Martin Smalley said on Thursday: A post-mortem examination commenced this afternoon and is continuing to be carried out this evening, however formal identification has now taken place and we can confirm the body recovered is that of missing woman Libby Squire. He said her family had been informed and were receiving support from specially trained officers. Ms Squire was last seen on Beverley Road close to the junction with Haworth Street in Hull. Det Supt Smalley said: An extensive search was carried out in the days and weeks after her disappearance, with detectives and officers working relentlessly to find Libby. The people in Hull have shown tremendous support to Libby's family and to the officers and support staff involved in the searches and investigation. Professor Susan Lea, vice-chancellor at the University of Hull, said staff and students were all absolutely devastated by the loss of our student, Libby Squire. Our hearts go out to Libby's family and friends at this incredibly difficult time and we will continue to give them our full support, she added. Last month, the student's mother Lisa Squire talked of a month of utter heartbreak and despair. As a family we are incomplete, she said. A 24-year-old man arrested on suspicion of abduction remains under investigation, police said. Pawel Relowicz, of Raglan Street in Hull, is remanded in custody on unrelated charges of burglary, voyeurism, outraging public decency and receiving stolen goods. On the night of her disappearance, detectives think Ms Squire got a taxi at the Welly Club music venue before arriving at her student house in Wellesley Avenue at about 23:30 GMT, where her mobile phone was found. They do not believe she entered the house and have said her phone has not provided any further insight as to her movements that night. She was spotted on CCTV 10 minutes later near a bench on Beverley Road, where it is thought a motorist stopped to offer her help. Floral tributes are now being laid on the bench.",Police searching for Libby Squire have confirmed a body recovered from the Humber estuary is that of the missing student.,"Libby Squire, 21, was last seen in the early hours of 1 February after a night out. Her body was discovered near Grimsby docks on Wednesday afternoon. A 24-year-old man arrested on suspicion of abduction remains under investigation. The University of Hull vice-chancellor said staff and students were devastated","A body found in the sea is that of missing student Libby Squire, police have confirmed.","a body was discovered near Grimsby docks on Wednesday afternoon, police said. Libby Squire was last seen in the early hours of 1 February after a night out. a 24-year-old man arrested on suspicion of abduction remains under investigation.","The body of missing University of Hull student Libby Squire has been found in Grimsby Docks, Humberside Police have confirmed. She was last seen in the early hours of 1 February following a night out. A police inquiry saw hundreds of officers searching for the 21-year-old student from High Wycombe, Buckinghamshire. A 24-year-old man arrested on suspicion of abduction remains under investigation. Pawel Relowicz, of Raglan Street in Hull, is remanded in custody on unrelated charges of burglary, voyeurism, outraging public decency and receiving stolen goods.",Police searching for Libby Squire have confirmed a body recovered from the Humber estuary is that of the missing student.
89,uk-england-leeds-49552623,xlsum,"The services, along with an extra hourly Sunday service on the Calder line, are to be supplied by Northern. But a report to West Yorkshire Combined Authority's transport committee shows a shortage of trains and staffing issues on Sundays are hampering the changes. West and North Yorkshire Chamber of Commerce said it was disappointing. The report says direct services from Bradford to Nottingham, via Sheffield, direct links to Liverpool and Manchester Airport, were due to be introduced in December as part of Northern Rail's Train Service Requirement. But those services, as well as a new Bradford to Manchester train and an extra hourly Sunday service on the Calder Valley line, will now not be going ahead as soon as planned. Reasons cited include insufficient capacity, a shortage of trains and a lack of staff working on Sundays. The same report reveals that despite promises from the government that the criticised Pacer trains would not be operating after Christmas, at least 23 Pacers would still be used, with a phasing out now expected by Summer 2020. Mike Cartwright of West and North Yorkshire Chamber of Commerce said: This news is very disappointing - for both businesses and the West Yorkshire public. Many of Northern's services, especially at peak times, are already above capacity and Bradford is very poorly served with the north's rail network. So this announcement comes on the back of an already poor form from rail operators, and underlines Bradford's campaign to get the city better connected across the north and beyond. Follow BBC Yorkshire on Facebook, Twitter and Instagram. Send your story ideas to yorkslincs.news@bbc.co.uk.",New rail services linking Bradford to key destinations such as Manchester Airport and Liverpool will not be introduced in December as planned.,"Direct services from Bradford to Nottingham, via Sheffield, direct links to Liverpool and Manchester Airport were due to be introduced in December. But a report to West Yorkshire Combined Authority's transport committee shows a shortage of trains and staffing issues on Sundays are hampering the changes. West and North Yorkshire Chamber of Commerce said it was disappointing","A new direct train service between Bradford and Nottingham and links to Liverpool and Manchester Airport will not be launched as planned, a report has revealed.","a report shows a shortage of trains and staffing issues on Sundays are hampering the changes. direct services from Bradford to Nottingham, via Sheffield, and links to Liverpool and Manchester airport were due to be introduced in December. west and north Yorkshire chamber of commerce said it was disappointing","Northern Rail's plan to introduce direct services from Bradford to Nottingham, as well as direct links to Liverpool and Manchester Airport, have been postponed due to a shortage of trains and staffing issues on Sundays. The services were due to be introduced in December but will now not be going ahead as planned. The report also revealed that despite promises from the government, at least 23 Pacers would still be used and their phasing out is now expected by Summer 2020. The West and North Yorkshire Chamber of Commerce described the news as disappointing.",New rail services linking Bradford to key destinations such as Manchester Airport and Liverpool will not be introduced in December as planned.
90,uk-england-leeds-51136569,xlsum,"A fostering expert said this meant many children were growing up without a full sense of their identity. Shaz, 18, who was cared for by non-Muslims, told the BBC: I felt like I didn't belong and I had to be white. Children's minister Michelle Donelan said: I'm extremely concerned... I think we're letting down children. The BBC has analysed figures from Ofsted, which has data from 146 of the 153 local authorities that provide fostering services in England. As of 31 March 2019 there were 54,870 children in foster care in England - 76% were white, 23% were BAME. The analysis found 99 authorities - 68% of the 146 - had a shortage or undersupply of foster carers from a BAME background. Authorities were deemed to have an undersupply when the gap between the percentage of carers and percentage of foster children who were BAME was bigger than five, and they had at least 15 children in foster care. Until he turned 18 last year, Shaz, a British Muslim of Pakistani heritage from Bradford, had been in care for four years, spending his time in three different care homes. He was never placed with a Muslim foster family and many of his care staff were white. It was weird because, being Muslim, I eat halal meat and I go to the mosque and stuff like that, but then when I transitioned into being in care they didn't know what that meant. In quite a lot of circumstances they would give me pork and stuff but then I wouldn't eat it and I would explain to them I wasn't going to eat it but then I would get into arguments and it was like 'you can't force feed me'. It felt like there was something wrong with me, something wrong with the colour I was. I felt like I didn't belong and I had to be white. In an ideal situation I would have liked to have been fostered by an Asian family because they would be more understanding and open-minded and they would know what to do. You may also be interested in: 'Extremely concerned' Ms Donelan, who was appointed as temporary children's minister in September, said: I think that's extremely upsetting and I'd love to meet him to hear personally about his own experience and how we can ensure that doesn't happen again in the future. I'm extremely concerned about it because I think we're letting down children and that's why we're making sure that we give a focus to adoption and fostering in general as well, because I don't want any child going without a loving home and without that permanence and security that all the research shows gives them the best opportunity in life. It's really important to a child that they have some understanding of their roots and their culture and their own identity for their personal development. Sagheer Hussain and Fatima Gora, from Bradford, have been fostering children for 16 years and have cared for children from many different backgrounds. Mr Hussain said: We live in a multi-cultural society and there's a lot more kids from ethnic backgrounds coming into care. We get a lot of phone calls from a lot of carers, white carers, and they'll say 'we've got this child in care, how we meet their needs, what do we need to do for Eid or what do we need to do for their diet?'. If there were more carers from BAME backgrounds they'd be able to meet these needs. Fostering charity Coram BAAF told the BBC that often when a child came into care the priority was to provide them with a safe place and sometimes their other needs were ignored. Dr John Simmons, director of policy and research at Coram BAAF, said: Sometimes something which is so fundamental seems so easily to slip off the agenda, as other more fundamental issues, is there a placement, is there a bed for this child overnight rather than our duty and responsibility to make sure that child actually develops a settled sense of who they are. The child's ethnicity and faith are fundamental to who the child will become and to ignore all of that really does put the child at significant risk about developing a secure sense of who they are.","Two-thirds of councils in England have a shortage of black, Asian or minority ethnic (BAME) foster carers, according to BBC analysis of official figures.","Children's minister Michelle Donelan said: I'm extremely concerned... I think we're letting down children As of 31 March 2019 there were 54,870 children in foster care in England - 76% were white, 23% were BAME. Shaz, 18, was never placed with a Muslim foster family and many of his care staff were white.","More than two-thirds of local authorities in England have a shortage or undersupply of foster carers from black, Asian and minority ethnic (BAME) backgrounds, a BBC investigation has found.","as of 31 march 2019 there were 54,870 children in foster care in England. 76% were white, 23% were BAME. i felt like there was something wrong with me, something wrong with the colour I was, says 18-year-old Shaz.","A BBC analysis has found that 68% of fostering authorities in England have a lack of foster carers from a black, Asian and minority ethnic (BAME) background. As of 31 March 2019, 54,870 children were in foster care in England; 76% were white and 23% were from a BAME background. The charity Coram BAAF says that children’s ethnic and religious identities are fundamental to their development and that such aspects are too often ignored. Muslim former foster child Shaz recently told the BBC that he felt “I felt like I didn't belong and I had to be white” after spending four years in care in three different homes, none of which belonged to an Asian family. ","Two-thirds of councils in England have a shortage of black, Asian or minority ethnic (BAME) foster carers, according to BBC analysis of official figures."
91,uk-england-leeds-53151792,xlsum,"Bradley Gledhill, 20, from Heckmondwike, died after the incident on Park Croft, Batley on Sunday night. Two men aged 18 and 23 from Batley and an 18-year-old from Heckmondwike were arrested on Tuesday morning. A 19-year-old arrested on Monday on suspicion of murder remains in custody for questioning. A 31-year-old arrested on suspicion of affray has been released without charge. Police are continuing to appeal for witnesses to contact them, and have set up an online portal where witnesses can tell police any information which might be useful. Officers were called to Park Croft at about 22:30 BST on Sunday to reports of an altercation on Park Croft involving a group of people. Mr Gledhill was stabbed, before a number of people involved fled the scene. Two other men allegedly involved in the fighting suffered serious but non-life threatening injuries. Senior Investigating Officer, DCI Vanessa Rolfe said: We are continuing a number of enquiries into this fatal incident in a residential street in Batley and now have four men under arrest in custody. Any scrap of information could be important as we work to investigate this serious disorder which has led to two men being injured and a young man losing his life. Follow BBC Yorkshire on Facebook, Twitter and Instagram. Send your story ideas to yorkslincs.news@bbc.co.uk or send video here.",Three more men have been arrested on suspicion of murdering a man who was stabbed to death in a fight in West Yorkshire.,"Bradley Gledhill, 20, died after the incident on Park Croft, Batley. Two men aged 18 and 23 from Batley and an 18-year-old from Heckmondwike were arrested on Tuesday morning. Police are continuing to appeal for witnesses to contact them.",Three more men have been arrested on suspicion of murder after a man was stabbed to death in West Yorkshire.,two men aged 18 and 23 from Batley and an 18-year-old from Heckmondwike were arrested on Tuesday morning. a 19-year-old arrested on Monday on suspicion of murder remains in custody. a 31-year-old arrested on suspicion of affray has been released without charge.,"A 20-year-old man named Bradley Gledhill was killed in an altercation in Batley, UK, on Sunday night. Four men have been arrested, including one on suspicion of murder who remains in custody. Police are appealing for witnesses to come forward and have set up an online portal for information. Two other men were injured in the fight but survived.",Three more men have been arrested on suspicion of murdering a man who was stabbed to death in a fight in West Yorkshire.
92,uk-england-leeds-54470312,xlsum,"Gareth Huntley, 33, from Leeds, disappeared on Tioman Island on 27 May 2014. His body was found on 4 June. At a hearing in Wakefield, West Yorkshire coroner Jane Alam said decomposition meant the cause of his death was not clear. In a narrative conclusion, she said a third-party could not be ruled out but no positive findings supported this. The inquest heard Mr Huntley was working as a volunteer for the Juara Tutle project when set off on a walk to a local waterfall. When he did not return, extensive searches were launched and his remains were eventually found a short distance from a police command post. How Gareth came by his death remains unknown, Ms Alam said. Mr Huntley's family said the mysterious circumstances surrounding his death had compounded their pain. 'Lust for life' His mother, Janet Southwell, who was at the inquest, has tried to find out what happened to her son since his body was found. In a statement issued after the hearing, the family said: It's been six years since Gareth died and we have waited a long time for this day. The pain of losing Gareth has been compounded by the mysterious circumstances surrounding his death. We still have many unanswered questions, many of which we will probably never find the answers to. They went on to describe Mr Huntley as having an exuberance and lust for life. He is profoundly missed by all who knew and loved him, they said. Follow BBC Yorkshire on Facebook, Twitter and Instagram. Send your story ideas to yorkslincs.news@bbc.co.uk or send video here.","The death of a British backpacker in Malaysia remains a mystery six years on, an inquest has heard.","Gareth Huntley, 33, disappeared on Tioman Island on 27 May 2014. His body was found a short distance from a police command post on 4 June. Coroner Jane Alam said decomposition meant the cause of his death was not clear. His family said the mysterious circumstances surrounding his death had compounded their pain.","A British tourist whose body was found on an Indonesian island six years after he went missing died of natural causes, an inquest has concluded.","gareth huntley, 33, disappeared on Tioman island on 27 may 2014. his body was found on 4 June. coroner said decomposition meant the cause of his death was not clear.","An inquest into the death of Gareth Huntley, who disappeared on Tioman Island in May 2014, concluded that the cause of his death remains unknown. Huntley's body was found a week after he went missing whilst working as a volunteer for the Juara Tutle project. Coroner Jane Alam acknowledged that a third-party could not be ruled out but there was no evidence to support the theory. Huntley's family has described the circumstances surrounding his death as mysterious.","The death of a British backpacker in Malaysia remains a mystery six years on, an inquest has heard."
93,uk-england-leicestershire-51356195,xlsum,"The journal, written in pencil by Pte Arthur Edward Diggins, describes the first day of the infamous World War One battle as something awful. The diary will be auctioned next month after being found among a box of military items in Leicestershire. Hansons Auctioneers said Pte Diggins survived the battle, which killed more than 20,000 British troops. The diary entry for 1 July 1916, the first day of the battle, reads: Something awful. Never witnessed anything like it before. After a bombardment of a week the Germans mounted their own trenches and the infantry reckon that every German had a machine gun. Five days later, Pte Diggins wrote: A shell drops just a few yards in front of our billet. We were all out except three of the boys. One was wounded. A good job I was not on my bit as a piece of shell buried itself in my candle. Oh, you lucky devil. The diary is due to be sold at a medals and militaria auction in Derbyshire on 20 March, with a guide price of £300 to £400. 'Delighted' Adrian Stevenson, from Hansons, said: The owner had no idea who any of the items related to but said his mother had been the recipient of old family heirlooms. It's a complete mystery how this Somme diary ended up in the Midlands, particularly as Arthur was born in London. The diary comes to an abrupt end in October 1916 and Hansons feared this was due to Pte Diggins dying. However, research found it was actually because he was sent a new diary to write in. Not only did he survive the First World War, he returned to his loved ones in England and became a husband and father, Mr Stevenson said. I'm always delighted when finds like this come in. They provide us with an opportunity to look back at important moments in history and celebrate the stories of long-forgotten servicemen. Follow BBC East Midlands on Facebook, Twitter, or Instagram. Send your story ideas to eastmidsnews@bbc.co.uk.",A diary detailing a soldier's experience in the Battle of the Somme has been discovered in a barn.,"Diary written by Pte Arthur Edward Diggins will be auctioned next month. It was found among a box of military items in Leicestershire. Pte Diggins survived the battle, which killed more than 20,000 British troops. The diary is due to be sold at a medals and militaria auction in Derbyshire.",A diary written by a soldier on the first day of the Battle of the Somme is expected to fetch up to £400 at auction.,journal written in pencil by pte Arthur Edward diggins will be auctioned next month. the diary is due to be sold at a medals and militaria auction in Derbyshire. research found it was because he was sent a new diary to write in.,"A diary, written in pencil by Pte Arthur Edward Diggins, describing the first day of the Battle of the Somme as something awful will be auctioned off next month by Hansons Auctioneers after being found in a box of military items in Leicestershire. The diary covers a period of trench warfare, and although Pte Diggins survived the battle, he does record that every German had a machine gun. The diary is expected to fetch between £300-£400.",A diary detailing a soldier's experience in the Battle of the Somme has been discovered in a barn.
94,uk-england-leicestershire-57039871,xlsum,"Rupert Matthews earned 135,566 votes, with Labour's Ross Willmott receiving 102,211. The incumbent Labour PCC Lord Willy Bach is stepping down following one term in the role, which was extended due to coronavirus, after being elected in 2016. Liberal Democrat candidate James Moore was eliminated in the first round. Mr Matthews, a former MEP for the East Midlands, said: I'm really looking forward to it. I am here to make the police force more effective, I am here to make our streets safer and I am here to make sure our police react more positively to the demands of the community. After the first round of voting, Mr Matthews was in the lead with 121,252 votes (49.27%), with Mr Willmott in second with 81,898 votes (33.28%). As neither candidate had received more than 50% of the votes, the lowest-polling candidate Mr Moore was eliminated and second preference ballots counted. This meant the ballots which picked the Liberal Democrat candidate as their first choice were checked for second preferences, and those choices were added to the two remaining candidates' totals. The turnout for the election was 30.2%, which was up from a 19.79% turnout at the last election in 2016. In Leicestershire County Council's elections on Thursday, the Conservatives retained control. A modern browser with JavaScript and a stable internet connection is required to view this interactive. Follow BBC East Midlands on Facebook, on Twitter, or on Instagram. Send your story ideas to eastmidsnews@bbc.co.uk. Related Internet Links Police and Crime Commissioner for Leicestershire",The Conservatives have won the election for the post of police and crime commissioner (PCC) for Leicestershire.,"Rupert Matthews earned 135,566 votes, with Labour's Ross Willmott receiving 102,211. The incumbent Labour PCC Lord Willy Bach is stepping down following one term. Liberal Democrat candidate James Moore was eliminated in the first round. The turnout for the election was 30.2%, up from a 19.79% turnout at the last election in 2016.",The Conservatives have won the race to be the next police and crime commissioner (PCC) for Leicestershire.,"the incumbent labour PCC Lord willy Bach is stepping down following one term. lib dem candidate James Moore was eliminated in the first round of voting. turnout for the election was 30.2%, up from a 19.79% turnout at the last election in 2016.","Conservative candidate Rupert Matthews has been elected as the new Police and Crime Commissioner for Leicestershire, defeating Labour candidate Ross Willmott. Matthews, a former MEP for the East Midlands, won 135,566 votes, whilst Willmott gained 102,211 votes. The Liberal Democrats' James Moore was eliminated in the first round of voting. The turnout for the election was 30.2%, an increase on the 19.79% turnout in 2016.",The Conservatives have won the election for the post of police and crime commissioner (PCC) for Leicestershire.
95,uk-england-lincolnshire-46126855,xlsum,"A white lorry and a silver Toyota Corolla collided on the B1391 at the junction with the A52 in Swineshead, near Boston, at about 06:30 GMT. A man in his 20s, who was in the car, later died from his injuries. The other people seriously hurt were also all in the Toyota. Police want to speak to the driver of a Transit van who may have witnessed it. Officers said the white or light coloured van had the numbers 07 on its back door and was not involved in the crash.",A man has died and four others have been seriously injured in a crash in Lincolnshire.,A lorry and a Toyota Corolla collided on the B1391 in Swineshead. A man in his 20s died from his injuries after the crash at about 06:30 GMT. Police want to speak to the driver of a Transit van who may have witnessed it.,A man has died and four people have been seriously injured in a crash between a lorry and a car in Lincolnshire.,"a white lorry and a silver Toyota collided on the B1391 in Swineshead. a man in his 20s, who was in the car, later died from his injuries. the other people seriously hurt were all in the Toyota.","A man in his 20s died and several others were seriously injured in a car and lorry collision in Swineshead, near Boston. Police are seeking the driver of a Transit van who may have witnessed the incident. The van, which had the numbers 07 on its back door, was not involved in the crash.",A man has died and four others have been seriously injured in a crash in Lincolnshire.
